# Iliadis et al. (2001, ApJS 134, 151), Tables 3-9: recommended reaction rates.
# Reformatted from ~/Documents/NuGrid/nuppn/bckup/NovaProject_0.2/references/iliadis2001_table03-09.dat
# (digitized from the paper's PDF tables) into ReacNetJl's per-reaction block format.
reaction: p ne20 -> na21 ; label: 20Ne(p,g)21Na ; table: 3 ; variant: standard
1.0 189.0
1.5 798.0
2.0 1740.0
3.0 3140.0
4.0 4500.0
5.0 5900.0
6.0 7200.0
7.0 8500.0
8.0 9600.0
9.0 10100.0
10.0 10400.0
end
reaction: p mg26 -> al27 ; label: 26Mg(p,g)27Al ; table: 4 ; variant: standard
0.01 1.5e-34
0.015 3.96e-27
0.02 6.77e-23
0.03 1.53e-18
0.04 2.29e-15
0.05 3.12e-13
0.06 8.69e-12
0.07 1.04e-10
0.08 7.92e-10
0.09 4.66e-9
0.1 2.28e-8
0.15 2.4e-5
0.2 0.00438
0.3 1.08
0.4 16.6
0.5 83.8
0.6 243.0
0.7 516.0
0.8 899.0
0.9 1380.0
1.0 1940.0
1.5 5390.0
2.0 9460.0
3.0 19700.0
4.0 35500.0
5.0 52700.0
6.0 70000.0
7.0 86400.0
8.0 101000.0
9.0 115000.0
10.0 127000.0
end
reaction: p al23 -> si24 ; label: 23Al(p,g)24Si ; table: 4 ; variant: standard
0.01 3.98e-38
0.015 2.41e-32
0.02 1.06e-28
0.03 5.96e-22
0.04 2.92e-16
0.05 7.03e-13
0.06 1.2e-10
0.07 4.57e-9
0.08 6.81e-8
0.09 5.45e-7
0.1 2.83e-6
0.15 0.000346
0.2 0.00337
0.3 0.0275
0.4 0.0693
0.5 0.112
0.6 0.146
0.7 0.171
0.8 0.19
0.9 0.206
1.0 0.222
1.5 1.01
2.0 2.28
3.0 5.35
4.0 8.31
5.0 10.9
6.0 13.1
7.0 15.2
8.0 16.9
9.0 18.5
10.0 19.9
end
reaction: p al24 -> si25 ; label: 24Al(p,g)25Si ; table: 5 ; variant: standard
0.01 2.18e-37
0.015 1.33e-31
0.02 5.92e-28
0.03 2.19e-23
0.04 1.65e-20
0.05 2.03e-18
0.06 2.98e-16
0.07 3.62e-14
0.08 1.48e-12
