H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      804 dzeit  2.93E-07 agej  1.2827E-04
 # t9 =    1.750E-01 rho =    4.528E+01
 # densn  8.14804E+08
 # densp  1.24756E+23
 # densa  3.33546E+24
 # total_energy_flux_[erg/(g*s)]  2.30147E+16
  266    35.  80.   1   1.32975E-12  BR 80
  267    35.  81.   1   6.85581E-09  BR 81
  268    35.  82.   1   2.58861E-12  BR 82
  269    35.  83.   1   6.65375E-14  BR 83
  270    35.  84.   1   2.16900E-18  BR 84
  271    35.  85.   1   1.68210E-23  BR 85
  272    35.  86.   1   1.00000E-99  BR 86
  273    35.  87.   1   1.00000E-99  BR 87
  274    36.  76.   1   1.00000E-99  KR 76
  275    36.  77.   1   1.00000E-99  KR 77
  276    36.  78.   1   1.92896E-10  KR 78
  277    36.  79.   1   5.59033E-14  KR 79
  278    36.  80.   1   1.27829E-09  KR 80
  279    36.  81.   1   6.67972E-13  KR 81
  280    36.  82.   1   6.52727E-09  KR 82
  281    36.  83.   1   6.54903E-09  KR 83
  282    36.  84.   1   3.26623E-08  KR 84
  283    36.  85.   1   2.20734E-12  KR 85
  284    36.  86.   1   1.01140E-08  KR 86
  285    36.  87.   1   2.11289E-14  KR 87
  286    36.  88.   1   6.90990E-19  KR 88
  287    36.  89.   1   2.42820E-25  KR 89
  288    36.  90.   1   1.00000E-99  KR 90
  289    37.  79.   1   1.02420E-20  RB 79
  290    37.  80.   1   6.42057E-26  RB 80
  291    37.  81.   1   1.58583E-19  RB 81
  292    37.  82.   1   1.30304E-22  RB 82
  293    37.  83.   1   1.19630E-18  RB 83
  294    37.  84.   1   1.47606E-18  RB 84
  295    37.  85.   1   6.34272E-09  RB 85
  296    37.  86.   1   1.73382E-12  RB 86
  297    37.  87.   1   2.50463E-09  RB 87
  298    37.  88.   1   9.21430E-15  RB 88
  299    37.  89.   1   5.58507E-19  RB 89
  300    37.  90.   1   2.27077E-24  RB 90
  301    37.  91.   1   1.00000E-99  RB 91
  302    38.  80.   1   1.00000E-99  SR 80
  303    38.  81.   1   1.00000E-99  SR 81
  304    38.  82.   1   1.00000E-99  SR 82
  305    38.  83.   1   1.00000E-99  SR 83
  306    38.  84.   1   1.59612E-10  SR 84
  307    38.  85.   1   8.56383E-14  SR 85
  308    38.  86.   1   2.89110E-09  SR 86
  309    38.  87.   1   2.19805E-09  SR 87
  310    38.  88.   1   2.47898E-08  SR 88
  311    38.  89.   1   2.32619E-13  SR 89
  312    38.  90.   1   7.65016E-18  SR 90
  313    38.  91.   1   2.16465E-22  SR 91
  314    38.  92.   1   1.42132E-26  SR 92
  315    38.  93.   1   1.00000E-99  SR 93
  316    38.  94.   1   1.00000E-99  SR 94
  317    39.  85.   1   2.62604E-21  Y  85
  318    39.  86.   1   2.01975E-24  Y  86
  319    39.  87.   1   6.33097E-20  Y  87
  320    39.  88.   1   5.14061E-20  Y  88
  321    39.  89.   1   6.08163E-09  Y  89
  322    39.  90.   1   2.16117E-13  Y  90
  323    39.  91.   1   6.87070E-17  Y  91
  324    39.  92.   1   6.74701E-21  Y  92
  325    39.  93.   1   3.47719E-24  Y  93
  326    39.  94.   1   1.00000E-99  Y  94
  327    39.  95.   1   1.00000E-99  Y  95
  328    39.  96.   1   1.00000E-99  Y  96
  329    40.  86.   1   1.00000E-99  ZR 86
  330    40.  87.   1   1.00000E-99  ZR 87
  331    40.  88.   1   1.00000E-99  ZR 88
  332    40.  89.   1   3.56202E-27  ZR 89
  333    40.  90.   1   7.59064E-09  ZR 90
  334    40.  91.   1   1.67415E-09  ZR 91
  335    40.  92.   1   2.58584E-09  ZR 92
  336    40.  93.   1   1.85517E-13  ZR 93
  337    40.  94.   1   2.67796E-09  ZR 94
  338    40.  95.   1   1.19158E-13  ZR 95
  339    40.  96.   1   4.40462E-10  ZR 96
  340    40.  97.   1   1.03014E-14  ZR 97
  341    40.  98.   1   1.60268E-21  ZR 98
  342    41.  89.   1   1.00000E-99  NB 89
  343    41.  90.   1   1.00000E-99  NB 90
  344    41.  91.   1   2.05058E-20  NB 91
  345    41.  92.   1   4.32108E-21  NB 92
  346    41.  93.   1   9.39539E-10  NB 93
  347    41.  94.   1   4.65024E-13  NB 94
  348    41.  95.   1   3.23162E-16  NB 95
  349    41.  96.   1   1.22799E-19  NB 96
  350    41.  97.   1   3.31307E-16  NB 97
  351    41.  98.   1   1.28500E-19  NB 98
  352    41.  99.   1   1.96545E-24  NB 99
  353    42.  90.   1   1.00000E-99  MO 90
  354    42.  91.   1   1.00000E-99  MO 91
  355    42.  92.   1   5.00835E-10  MO 92
  356    42.  93.   1   7.14904E-14  MO 93
  357    42.  94.   1   3.18919E-10  MO 94
  358    42.  95.   1   5.54820E-10  MO 95
  359    42.  96.   1   5.87626E-10  MO 96
  360    42.  97.   1   3.40071E-10  MO 97
  361    42.  98.   1   8.67977E-10  MO 98
  362    42.  99.   1   1.41096E-13  MO 99
  363    42. 100.   1   3.53475E-10  MO100
  364    42. 101.   1   6.35577E-15  MO101
  365    42. 102.   1   3.34554E-19  MO102
  366    43.  93.   1   1.32945E-22  TC 93
  367    43.  94.   1   2.35251E-26  TC 94
  368    43.  95.   1   9.91642E-23  TC 95
  369    43.  96.   1   1.38831E-22  TC 96
  370    43.  97.   1   4.14704E-17  TC 97
  371    43.  98.   1   7.56443E-21  TC 98
  372    43.  99.   1   1.67467E-15  TC 99
  373    43. 100.   1   5.95949E-21  TC100
  374    43. 101.   1   8.23279E-15  TC101
  375    43. 102.   1   3.63759E-19  TC102
  376    43. 103.   1   4.07972E-24  TC103
  377    43. 104.   1   3.71716E-26  TC104
  378    43. 105.   1   1.00000E-99  TC105
  379    44.  94.   1   1.00000E-99  RU 94
  380    44.  95.   1   1.00000E-99  RU 95
  381    44.  96.   1   1.44697E-10  RU 96
  382    44.  97.   1   4.13748E-14  RU 97
  383    44.  98.   1   4.98096E-11  RU 98
  384    44.  99.   1   3.43332E-10  RU 99
  385    44. 100.   1   3.42918E-10  RU100
  386    44. 101.   1   4.68231E-10  RU101
  387    44. 102.   1   8.75991E-10  RU102
  388    44. 103.   1   2.21886E-13  RU103
  389    44. 104.   1   5.26709E-10  RU104
  390    44. 105.   1   9.25308E-14  RU105
  391    44. 106.   1   6.53771E-17  RU106
  392    45.  98.   1   1.00000E-99  RH 98
  393    45.  99.   1   1.25261E-24  RH 99
  394    45. 100.   1   6.40968E-24  RH100
  395    45. 101.   1   5.43769E-24  RH101
